,UF,ACESSO_CEL,ACESSO_TABL,TEM_3G
93285,35,4.0,4.0,2.0
93289,35,2.0,4.0,2.0
93290,35,2.0,4.0,2.0
93291,35,2.0,4.0,2.0
93292,35,2.0,4.0,2.0
93295,35,2.0,4.0,2.0
93296,35,2.0,4.0,2.0
93300,35,4.0,4.0,4.0
93302,35,2.0,4.0,2.0
93303,35,4.0,4.0,4.0
93307,35,2.0,4.0,2.0
93310,35,4.0,4.0,4.0
93312,35,4.0,4.0,4.0
93314,35,2.0,4.0,2.0
93317,35,4.0,4.0,2.0
93320,35,2.0,2.0,4.0
93321,35,4.0,4.0,4.0
93322,35,2.0,4.0,2.0
93324,35,2.0,4.0,2.0
93325,35,2.0,4.0,4.0
93326,35,4.0,4.0,4.0
93328,35,4.0,4.0,4.0
93330,35,2.0,4.0,2.0
93335,35,4.0,4.0,4.0
93337,35,2.0,4.0,2.0
93341,35,4.0,4.0,4.0
93345,35,4.0,4.0,4.0
93346,35,2.0,2.0,4.0
93353,35,2.0,4.0,2.0
93365,35,2.0,4.0,2.0
93367,35,2.0,4.0,2.0
93368,35,2.0,2.0,4.0
93370,35,2.0,4.0,2.0
93371,35,2.0,4.0,2.0
93379,35,4.0,4.0,4.0
93392,35,2.0,4.0,2.0
93393,35,4.0,4.0,4.0
93400,35,2.0,4.0,2.0
93404,35,2.0,4.0,2.0
93410,35,2.0,4.0,2.0
93413,35,2.0,4.0,2.0
93415,35,2.0,2.0,2.0
93427,35,2.0,4.0,2.0
93428,35,2.0,4.0,2.0
93429,35,2.0,4.0,4.0
93431,35,2.0,2.0,2.0
93433,35,2.0,4.0,2.0
93435,35,2.0,4.0,2.0
93438,35,4.0,4.0,2.0
93442,35,2.0,4.0,2.0
93443,35,4.0,4.0,2.0
93448,35,2.0,4.0,2.0
93462,35,4.0,4.0,4.0
93463,35,2.0,4.0,2.0
93465,35,2.0,4.0,2.0
93467,35,4.0,4.0,4.0
93470,35,2.0,2.0,2.0
93475,35,2.0,2.0,2.0
93477,35,2.0,4.0,2.0
93478,35,4.0,4.0,2.0
93483,35,2.0,4.0,4.0
93485,35,4.0,4.0,4.0
93493,35,4.0,4.0,4.0
93497,35,2.0,2.0,2.0
93498,35,2.0,2.0,2.0
93502,35,4.0,4.0,4.0
93503,35,2.0,4.0,2.0
93504,35,2.0,2.0,2.0
93506,35,4.0,4.0,4.0
93507,35,2.0,2.0,4.0
93508,35,2.0,2.0,4.0
93509,35,2.0,4.0,4.0
93511,35,2.0,4.0,2.0
93512,35,4.0,4.0,4.0
93513,35,2.0,4.0,2.0
93514,35,2.0,4.0,2.0
93515,35,2.0,4.0,4.0
93516,35,2.0,4.0,4.0
93518,35,4.0,4.0,4.0
93519,35,2.0,2.0,4.0
93520,35,4.0,4.0,4.0
93521,35,2.0,2.0,4.0
93522,35,2.0,4.0,4.0
93523,35,2.0,2.0,4.0
93524,35,2.0,4.0,2.0
93525,35,2.0,2.0,2.0
93526,35,4.0,2.0,2.0
93527,35,4.0,4.0,4.0
93529,35,2.0,4.0,4.0
93530,35,4.0,4.0,4.0
93531,35,2.0,4.0,4.0
93533,35,2.0,2.0,4.0
93535,35,4.0,4.0,4.0
93537,35,4.0,4.0,4.0
93542,35,4.0,4.0,4.0
93544,35,2.0,2.0,4.0
93545,35,2.0,4.0,4.0
93546,35,4.0,4.0,4.0
93548,35,2.0,4.0,2.0
93549,35,2.0,4.0,4.0
93550,35,4.0,4.0,4.0
93551,35,2.0,2.0,4.0
93552,35,2.0,4.0,4.0
93557,35,4.0,4.0,4.0
93561,35,2.0,2.0,4.0
93562,35,2.0,4.0,4.0
93563,35,4.0,4.0,4.0
93564,35,2.0,4.0,2.0
93566,35,4.0,4.0,4.0
93567,35,4.0,4.0,4.0
93568,35,2.0,4.0,2.0
93572,35,4.0,4.0,2.0
93576,35,4.0,2.0,2.0
93579,35,2.0,4.0,4.0
93581,35,4.0,4.0,2.0
93582,35,4.0,2.0,4.0
93583,35,2.0,4.0,2.0
93586,35,4.0,4.0,2.0
93591,35,2.0,4.0,4.0
93592,35,4.0,4.0,4.0
93593,35,2.0,4.0,2.0
93596,35,4.0,4.0,4.0
93601,35,2.0,4.0,2.0
93603,35,4.0,4.0,4.0
93605,35,2.0,4.0,2.0
93606,35,2.0,4.0,4.0
93608,35,2.0,4.0,2.0
93609,35,4.0,4.0,4.0
93611,35,2.0,4.0,2.0
