,UF,ACESSO_CEL,ACESSO_TABL,TEM_3G
93530,35,2.0,4.0,2.0
93532,35,2.0,4.0,2.0
93533,35,2.0,4.0,2.0
93534,35,2.0,2.0,2.0
93536,35,2.0,4.0,2.0
93538,35,4.0,4.0,4.0
93539,35,2.0,4.0,4.0
93540,35,2.0,2.0,4.0
93542,35,2.0,4.0,2.0
93543,35,2.0,4.0,2.0
93544,35,2.0,4.0,4.0
93547,35,2.0,4.0,4.0
93549,35,2.0,4.0,4.0
93551,35,2.0,4.0,2.0
93552,35,2.0,4.0,2.0
93553,35,2.0,4.0,4.0
93555,35,4.0,4.0,4.0
93556,35,2.0,2.0,4.0
93558,35,2.0,4.0,2.0
93559,35,2.0,4.0,2.0
93561,35,2.0,4.0,2.0
93562,35,2.0,4.0,2.0
93564,35,2.0,4.0,2.0
93565,35,2.0,4.0,2.0
93571,35,2.0,2.0,2.0
93573,35,2.0,2.0,2.0
93574,35,4.0,4.0,4.0
93576,35,4.0,4.0,4.0
93577,35,2.0,4.0,2.0
93580,35,2.0,4.0,2.0
93582,35,2.0,2.0,2.0
93584,35,2.0,4.0,2.0
93585,35,2.0,2.0,2.0
93587,35,2.0,4.0,2.0
93588,35,2.0,4.0,2.0
93589,35,2.0,4.0,4.0
93591,35,2.0,4.0,2.0
93593,35,4.0,4.0,4.0
93594,35,4.0,4.0,4.0
93595,35,2.0,4.0,2.0
93596,35,2.0,4.0,2.0
93597,35,4.0,4.0,4.0
93598,35,4.0,2.0,2.0
93599,35,2.0,4.0,2.0
93600,35,2.0,2.0,4.0
93601,35,2.0,2.0,2.0
93604,35,4.0,4.0,2.0
93605,35,2.0,2.0,2.0
93606,35,4.0,4.0,4.0
93607,35,2.0,2.0,2.0
93608,35,2.0,4.0,2.0
93611,35,2.0,2.0,2.0
93612,35,2.0,4.0,2.0
93613,35,2.0,2.0,2.0
93614,35,2.0,4.0,2.0
93615,35,2.0,2.0,2.0
93616,35,2.0,4.0,2.0
93617,35,2.0,2.0,2.0
93618,35,2.0,4.0,4.0
93619,35,4.0,4.0,4.0
93620,35,2.0,4.0,2.0
93623,35,2.0,4.0,4.0
93624,35,2.0,4.0,2.0
93626,35,2.0,2.0,2.0
93627,35,2.0,2.0,2.0
93629,35,2.0,4.0,2.0
93630,35,2.0,4.0,2.0
93631,35,2.0,4.0,2.0
93634,35,2.0,4.0,4.0
93636,35,2.0,4.0,2.0
93638,35,2.0,4.0,2.0
93639,35,2.0,4.0,4.0
93640,35,2.0,2.0,2.0
93641,35,2.0,4.0,4.0
93642,35,2.0,2.0,2.0
93643,35,2.0,4.0,2.0
93648,35,4.0,4.0,4.0
93651,35,2.0,4.0,4.0
93652,35,2.0,4.0,2.0
93653,35,2.0,4.0,2.0
93654,35,2.0,4.0,2.0
93655,35,2.0,4.0,2.0
93656,35,2.0,4.0,2.0
93657,35,2.0,4.0,2.0
93659,35,2.0,2.0,2.0
93660,35,2.0,4.0,2.0
93664,35,2.0,4.0,2.0
