,V061112,V061113,V06112,V8005,V6003
194,1.0,1.0,1.0,65,-
195,1.0,1.0,1.0,65,-
196,-,-,3.0,37,-
197,1.0,1.0,1.0,66,-
198,1.0,1.0,1.0,57,-
199,-,-,-,6,1.0
200,1.0,1.0,1.0,57,-
201,1.0,1.0,1.0,56,-
202,1.0,1.0,1.0,63,-
203,1.0,1.0,1.0,44,-
204,-,-,1.0,72,-
205,1.0,1.0,1.0,49,-
206,1.0,1.0,1.0,56,-
207,1.0,1.0,1.0,37,-
208,1.0,1.0,1.0,16,2.0
209,1.0,1.0,1.0,74,-
210,1.0,1.0,1.0,67,-
211,1.0,1.0,1.0,44,-
212,1.0,1.0,1.0,37,-
213,-,-,3.0,11,1.0
214,-,-,-,9,1.0
215,-,-,-,1,7.0
216,1.0,1.0,1.0,56,-
217,-,-,1.0,41,-
218,-,-,3.0,34,-
219,1.0,1.0,1.0,65,-
220,-,-,3.0,77,-
221,2.0,1.0,1.0,49,-
222,1.0,1.0,1.0,62,-
223,-,-,3.0,68,-
224,1.0,1.0,1.0,39,-
225,1.0,1.0,1.0,37,-
226,1.0,1.0,1.0,14,1.0
227,1.0,1.0,1.0,10,1.0
228,-,-,1.0,42,-
229,1.0,1.0,1.0,21,-
230,1.0,1.0,1.0,18,2.0
231,1.0,2.0,3.0,12,1.0
232,-,-,3.0,10,1.0
233,1.0,1.0,1.0,51,-
234,1.0,1.0,1.0,35,-
235,-,-,-,3,7.0
236,-,-,1.0,37,-
237,1.0,1.0,1.0,55,-
238,1.0,1.0,1.0,46,-
239,1.0,1.0,1.0,22,5.0
240,1.0,1.0,1.0,51,-
241,1.0,1.0,1.0,55,-
242,-,-,3.0,62,-
243,-,-,1.0,55,-
244,1.0,1.0,1.0,31,-
245,-,-,1.0,63,-
246,-,-,3.0,58,-
247,1.0,1.0,1.0,65,-
248,1.0,2.0,1.0,55,-
249,1.0,1.0,1.0,54,-
250,2.0,1.0,1.0,54,-
251,-,-,1.0,59,-
252,-,-,3.0,57,-
253,1.0,1.0,1.0,25,-
254,1.0,1.0,1.0,20,-
255,1.0,1.0,1.0,46,-
256,1.0,1.0,1.0,55,-
257,1.0,1.0,1.0,69,-
258,2.0,1.0,1.0,67,-
259,1.0,1.0,1.0,55,-
260,1.0,1.0,1.0,47,-
261,1.0,1.0,1.0,21,5.0
262,1.0,1.0,1.0,17,2.0
263,1.0,1.0,1.0,11,1.0
264,1.0,1.0,1.0,37,-
265,1.0,1.0,1.0,36,-
266,-,-,-,2,-
267,1.0,1.0,1.0,27,-
268,1.0,1.0,1.0,27,-
269,1.0,1.0,1.0,55,-
270,1.0,1.0,1.0,48,-
271,-,-,3.0,69,-
272,1.0,1.0,1.0,43,-
273,1.0,1.0,1.0,38,-
274,-,-,3.0,61,-
275,-,-,3.0,11,1.0
276,-,-,-,7,1.0
277,-,-,-,1,7.0
278,1.0,1.0,1.0,66,-
279,1.0,1.0,1.0,67,-
280,1.0,1.0,1.0,71,-
281,-,-,3.0,87,-
282,1.0,1.0,1.0,57,-
283,1.0,1.0,1.0,58,-
284,1.0,1.0,1.0,51,-
285,-,-,-,9,1.0
286,-,-,-,4,7.0
287,1.0,1.0,1.0,48,-
288,1.0,1.0,1.0,24,-
289,1.0,1.0,1.0,17,2.0
290,1.0,1.0,1.0,46,-
291,1.0,1.0,1.0,40,-
292,1.0,1.0,1.0,42,-
293,-,-,-,9,1.0
294,-,-,-,6,9.0
295,1.0,1.0,1.0,32,-
296,1.0,1.0,1.0,32,-
297,-,-,-,3,7.0
298,1.0,1.0,1.0,55,-
299,1.0,1.0,1.0,37,-
300,1.0,1.0,1.0,41,-
301,1.0,1.0,1.0,40,-
302,1.0,1.0,1.0,39,-
303,-,-,-,4,7.0
304,1.0,1.0,1.0,40,-
305,1.0,1.0,1.0,16,2.0
306,-,-,1.0,68,-
307,-,-,1.0,64,-
308,1.0,1.0,1.0,38,-
309,-,-,3.0,98,-
310,1.0,1.0,1.0,70,-
