,V061112,V061113,V06112,V8005,V6003
11308,-,-,1.0,38,-
11309,1.0,1.0,1.0,19,5.0
11310,1.0,1.0,1.0,17,2.0
11311,1.0,1.0,1.0,10,1.0
11312,-,-,1.0,55,-
11313,1.0,1.0,1.0,45,-
11314,-,-,1.0,41,-
11315,1.0,1.0,1.0,20,-
11316,-,-,-,2,7.0
11317,2.0,1.0,1.0,37,-
11318,2.0,1.0,1.0,33,-
11319,1.0,1.0,1.0,14,1.0
11320,2.0,1.0,1.0,11,1.0
11321,-,-,1.0,52,-
11322,-,-,3.0,37,-
11323,2.0,1.0,1.0,20,2.0
11324,-,-,1.0,53,-
11325,-,-,3.0,49,-
11326,2.0,1.0,1.0,15,1.0
11327,2.0,1.0,1.0,36,-
11328,2.0,1.0,1.0,27,-
11329,-,-,-,8,1.0
11330,-,-,1.0,31,-
11331,-,-,1.0,30,-
11332,-,-,-,0,-
11333,1.0,1.0,1.0,23,-
11334,2.0,1.0,1.0,20,-
11335,1.0,2.0,1.0,63,-
11336,1.0,1.0,1.0,58,-
11337,1.0,1.0,1.0,57,-
11338,1.0,1.0,1.0,50,-
11339,1.0,1.0,1.0,25,5.0
11340,1.0,1.0,1.0,20,2.0
11341,1.0,1.0,1.0,12,1.0
11342,-,-,1.0,64,-
11343,-,-,3.0,69,-
11344,1.0,1.0,1.0,42,-
11345,1.0,1.0,1.0,37,-
11346,1.0,1.0,1.0,16,2.0
11347,1.0,1.0,1.0,42,-
11348,1.0,1.0,1.0,65,-
11349,1.0,1.0,1.0,56,-
11350,-,-,1.0,73,-
11351,-,-,1.0,70,-
11352,-,-,1.0,71,-
11353,-,-,1.0,69,-
11354,1.0,1.0,1.0,43,-
11355,1.0,1.0,1.0,38,-
11356,1.0,1.0,1.0,50,-
11357,1.0,1.0,1.0,51,-
11358,1.0,1.0,1.0,24,-
11359,1.0,1.0,1.0,20,5.0
11360,1.0,2.0,1.0,48,-
11361,1.0,1.0,1.0,41,-
11362,-,-,-,7,1.0
11363,-,-,-,7,1.0
11364,1.0,1.0,1.0,23,-
11365,1.0,1.0,1.0,33,-
11366,-,-,-,0,-
11367,-,-,1.0,41,-
11368,1.0,2.0,1.0,39,-
11369,-,-,-,9,1.0
11370,-,-,-,5,9.0
11371,2.0,1.0,1.0,42,-
11372,1.0,1.0,1.0,54,-
11373,-,-,-,9,1.0
11374,-,-,1.0,76,-
11375,-,-,1.0,68,-
11376,-,-,1.0,57,-
11377,-,-,3.0,90,-
11378,-,-,1.0,54,-
11379,-,-,1.0,24,-
11380,1.0,1.0,1.0,40,5.0
11381,1.0,1.0,1.0,40,-
11382,1.0,1.0,1.0,18,-
11383,1.0,1.0,1.0,15,2.0
11384,1.0,1.0,1.0,15,2.0
11385,1.0,1.0,1.0,44,-
11386,1.0,1.0,1.0,34,-
11387,-,-,-,3,7.0
11388,-,-,-,0,-
11389,1.0,1.0,1.0,49,-
11390,1.0,1.0,1.0,43,-
11391,1.0,1.0,1.0,19,5.0
11392,1.0,1.0,1.0,17,2.0
11393,1.0,1.0,1.0,31,11.0
11394,2.0,1.0,1.0,50,-
11395,1.0,2.0,1.0,50,-
11396,1.0,2.0,1.0,41,-
11397,1.0,2.0,1.0,12,1.0
11398,-,-,1.0,63,-
11399,-,-,3.0,59,-
11400,-,-,3.0,70,-
11401,-,-,3.0,68,-
11402,1.0,2.0,1.0,65,-
11403,1.0,2.0,1.0,60,-
11404,1.0,1.0,1.0,42,-
11405,-,-,3.0,67,-
11406,-,-,3.0,62,-
11407,1.0,1.0,1.0,41,-
11408,1.0,1.0,1.0,20,5.0
11409,1.0,1.0,1.0,15,2.0
11410,-,-,1.0,62,-
11411,2.0,1.0,1.0,14,1.0
11412,1.0,1.0,1.0,42,-
11413,1.0,2.0,3.0,18,-
11414,-,-,1.0,33,-
11415,-,-,1.0,52,-
11416,1.0,1.0,1.0,39,-
11417,1.0,1.0,1.0,32,-
11418,1.0,2.0,3.0,10,1.0
11419,-,-,-,6,1.0
11420,-,-,-,4,-
11421,-,-,1.0,58,-
11422,-,-,1.0,59,-
11423,-,-,1.0,29,-
11424,-,-,1.0,23,-
11425,-,-,1.0,23,-
11426,-,-,-,1,-
11427,-,-,3.0,61,-
11428,-,-,3.0,46,-
11429,-,-,1.0,44,-
11430,-,-,1.0,44,-
11431,-,-,3.0,63,-
11432,-,-,3.0,60,-
11433,-,-,1.0,29,-
11434,-,-,1.0,56,-
11435,-,-,1.0,52,-
11436,1.0,1.0,1.0,21,-
11437,-,-,1.0,79,-
11438,-,-,1.0,29,-
11439,-,-,1.0,42,-
11440,-,-,1.0,19,-
11441,-,-,3.0,17,-
11442,-,-,-,0,-
11443,-,-,3.0,78,-
11444,-,-,3.0,70,-
11445,-,-,1.0,50,-
11446,-,-,3.0,25,-
11447,-,-,1.0,40,-
11448,-,-,1.0,25,-
11449,-,-,-,7,1.0
11450,-,-,1.0,51,-
11451,-,-,3.0,43,-
11452,-,-,3.0,17,-
11453,-,-,3.0,15,-
11454,-,-,1.0,75,-
11455,-,-,1.0,55,-
11456,-,-,1.0,54,-
11457,-,-,1.0,47,-
11458,-,-,-,6,1.0
11459,-,-,1.0,32,-
11460,-,-,1.0,27,-
11461,2.0,1.0,3.0,12,1.0
11462,-,-,-,5,-
11463,-,-,1.0,47,-
11464,2.0,1.0,1.0,16,2.0
11465,-,-,-,9,1.0
11466,-,-,3.0,71,-
11467,-,-,1.0,69,-
11468,-,-,3.0,77,-
11469,-,-,3.0,75,-
11470,-,-,3.0,45,-
11471,1.0,2.0,1.0,71,-
11472,1.0,2.0,1.0,69,-
11473,-,-,3.0,53,-
11474,-,-,1.0,25,-
11475,2.0,1.0,1.0,20,-
11476,2.0,1.0,1.0,27,-
11477,-,-,-,5,9.0
11478,-,-,1.0,35,-
11479,-,-,1.0,30,-
11480,1.0,1.0,1.0,14,1.0
11481,-,-,3.0,10,1.0
11482,-,-,1.0,71,-
11483,-,-,3.0,64,-
11484,-,-,1.0,39,-
11485,-,-,1.0,37,-
11486,2.0,1.0,1.0,16,2.0
11487,-,-,3.0,12,1.0
11488,-,-,3.0,49,-
11489,-,-,3.0,50,-
11490,-,-,1.0,66,-
11491,-,-,1.0,74,-
11492,2.0,1.0,1.0,31,-
11493,-,-,1.0,65,-
11494,-,-,1.0,49,-
11495,2.0,1.0,1.0,24,-
11496,-,-,1.0,16,-
11497,2.0,1.0,1.0,32,-
11498,2.0,1.0,1.0,30,-
11499,-,-,1.0,37,-
11500,1.0,1.0,1.0,41,-
11501,1.0,2.0,1.0,17,-
11502,1.0,1.0,1.0,16,2.0
11503,-,-,1.0,58,-
11504,-,-,3.0,54,-
11505,-,-,1.0,58,-
11506,2.0,1.0,1.0,23,-
11507,2.0,1.0,1.0,16,2.0
11508,-,-,1.0,73,-
11509,-,-,1.0,71,-
11510,-,-,1.0,45,6.0
11511,2.0,1.0,1.0,59,-
11512,1.0,1.0,1.0,37,-
11513,1.0,1.0,1.0,31,-
11514,1.0,1.0,1.0,14,1.0
11515,1.0,1.0,3.0,12,1.0
11516,1.0,1.0,1.0,21,-
11517,2.0,1.0,1.0,49,-
11518,-,-,-,4,-
11519,-,-,-,2,-
11520,-,-,1.0,56,-
11521,-,-,1.0,55,-
11522,2.0,1.0,1.0,54,-
11523,1.0,1.0,1.0,33,-
11524,1.0,1.0,1.0,26,-
11525,2.0,1.0,1.0,24,-
11526,-,-,1.0,69,-
11527,-,-,3.0,70,-
11528,1.0,1.0,1.0,27,-
11529,2.0,1.0,1.0,54,-
11530,1.0,1.0,1.0,23,-
11531,2.0,1.0,1.0,19,-
11532,-,-,3.0,74,-
11533,2.0,1.0,1.0,19,-
11534,-,-,1.0,50,-
11535,-,-,1.0,50,-
11536,2.0,1.0,1.0,14,2.0
11537,-,-,-,9,1.0
11538,-,-,-,8,1.0
11539,-,-,1.0,39,-
11540,1.0,1.0,1.0,32,-
11541,1.0,2.0,3.0,11,1.0
11542,-,-,-,9,1.0
11543,-,-,1.0,68,-
11544,-,-,3.0,67,-
11545,1.0,1.0,1.0,18,-
11546,1.0,2.0,1.0,67,-
11547,1.0,1.0,1.0,36,-
11548,1.0,1.0,1.0,36,-
11549,1.0,2.0,3.0,11,1.0
11550,1.0,1.0,1.0,45,-
11551,1.0,1.0,1.0,47,-
11552,1.0,1.0,1.0,10,1.0
11553,1.0,1.0,1.0,41,-
11554,1.0,1.0,1.0,40,-
11555,1.0,1.0,1.0,14,1.0
11556,-,-,3.0,11,1.0
11557,-,-,3.0,85,-
11558,-,-,3.0,66,-
11559,-,-,1.0,62,-
11560,1.0,1.0,1.0,24,-
11561,1.0,2.0,1.0,58,-
11562,1.0,1.0,1.0,47,-
11563,1.0,1.0,1.0,16,2.0
11564,1.0,1.0,1.0,14,2.0
11565,-,-,1.0,76,-
11566,1.0,1.0,1.0,52,-
11567,1.0,1.0,1.0,53,-
11568,1.0,1.0,1.0,21,5.0
11569,1.0,1.0,1.0,27,-
11570,-,-,-,2,7.0
11571,1.0,2.0,1.0,68,-
11572,-,-,3.0,70,-
11573,1.0,1.0,1.0,50,-
11574,1.0,1.0,1.0,48,-
11575,1.0,1.0,1.0,19,-
11576,1.0,1.0,1.0,33,-
11577,1.0,1.0,1.0,31,-
11578,1.0,1.0,1.0,56,-
11579,1.0,1.0,1.0,52,-
11580,1.0,1.0,1.0,52,-
11581,1.0,1.0,1.0,24,-
11582,1.0,1.0,1.0,27,-
11583,-,-,-,1,-
11584,1.0,1.0,1.0,62,-
11585,1.0,1.0,1.0,56,-
11586,1.0,1.0,1.0,48,-
11587,1.0,1.0,1.0,49,-
11588,-,-,-,3,7.0
11589,1.0,1.0,1.0,35,-
11590,1.0,1.0,1.0,36,-
11591,-,-,-,1,7.0
11592,1.0,1.0,1.0,33,-
11593,1.0,2.0,1.0,61,-
11594,-,-,1.0,55,-
11595,1.0,1.0,1.0,17,2.0
11596,1.0,1.0,1.0,37,-
11597,1.0,1.0,1.0,24,-
11598,-,-,1.0,23,-
11599,1.0,2.0,1.0,50,-
11600,-,-,1.0,49,-
11601,1.0,1.0,1.0,25,-
11602,1.0,1.0,1.0,18,-
11603,1.0,1.0,1.0,26,-
11604,1.0,1.0,1.0,29,-
11605,1.0,2.0,1.0,50,-
11606,-,-,1.0,69,-
11607,1.0,2.0,1.0,65,-
11608,1.0,2.0,1.0,70,-
11609,1.0,2.0,1.0,48,4.0
11610,1.0,1.0,1.0,27,-
11611,1.0,1.0,1.0,25,-
11612,1.0,1.0,1.0,53,-
11613,1.0,1.0,1.0,25,-
11614,-,-,1.0,51,-
11615,1.0,1.0,1.0,47,-
11616,-,-,3.0,83,-
11617,1.0,1.0,1.0,49,5.0
11618,1.0,1.0,1.0,49,5.0
11619,1.0,1.0,1.0,30,-
11620,1.0,1.0,1.0,22,5.0
11621,1.0,1.0,1.0,28,-
11622,1.0,1.0,1.0,27,-
11623,-,-,1.0,61,-
11624,1.0,1.0,1.0,58,-
11625,1.0,1.0,1.0,28,5.0
11626,1.0,1.0,1.0,27,11.0
11627,-,-,1.0,62,-
11628,1.0,2.0,3.0,51,-
11629,1.0,2.0,1.0,43,-
11630,1.0,1.0,1.0,26,-
11631,2.0,1.0,1.0,22,-
11632,1.0,1.0,1.0,21,-
11633,1.0,1.0,1.0,19,5.0
11634,-,-,1.0,68,-
11635,-,-,1.0,57,-
11636,1.0,1.0,1.0,42,-
11637,1.0,1.0,1.0,11,1.0
11638,-,-,-,9,1.0
11639,-,-,1.0,63,-
11640,-,-,1.0,53,-
11641,-,-,3.0,32,-
11642,2.0,1.0,1.0,26,-
11643,-,-,-,9,1.0
11644,-,-,-,6,9.0
11645,-,-,3.0,66,-
11646,1.0,1.0,1.0,63,-
11647,1.0,1.0,1.0,41,-
11648,-,-,1.0,45,-
11649,1.0,1.0,1.0,17,-
11650,1.0,1.0,1.0,12,1.0
11651,1.0,1.0,1.0,47,-
11652,1.0,1.0,1.0,37,-
11653,1.0,1.0,1.0,20,5.0
11654,1.0,1.0,1.0,16,2.0
11655,1.0,2.0,3.0,13,1.0
11656,1.0,1.0,1.0,51,-
11657,1.0,1.0,1.0,50,-
11658,1.0,1.0,1.0,18,2.0
11659,1.0,1.0,1.0,16,2.0
11660,1.0,1.0,1.0,35,-
11661,1.0,1.0,1.0,41,-
11662,1.0,2.0,3.0,11,1.0
11663,-,-,-,4,9.0
11664,1.0,1.0,1.0,26,-
11665,1.0,1.0,1.0,28,-
11666,-,-,-,9,1.0
11667,-,-,-,4,7.0
11668,1.0,1.0,1.0,40,-
11669,1.0,1.0,1.0,41,-
11670,-,-,-,4,9.0
11671,1.0,1.0,1.0,45,-
11672,1.0,1.0,1.0,43,-
11673,1.0,1.0,1.0,25,5.0
11674,1.0,1.0,1.0,18,5.0
11675,1.0,1.0,1.0,31,-
11676,1.0,1.0,1.0,36,-
11677,-,-,-,8,1.0
11678,-,-,-,6,1.0
11679,-,-,-,1,-
11680,1.0,1.0,3.0,53,-
11681,1.0,2.0,1.0,56,-
11682,1.0,1.0,1.0,43,-
11683,1.0,1.0,1.0,33,-
11684,1.0,2.0,3.0,14,1.0
11685,1.0,2.0,3.0,11,1.0
11686,-,-,-,7,1.0
11687,-,-,1.0,55,-
11688,1.0,1.0,1.0,32,-
11689,1.0,1.0,1.0,15,2.0
11690,1.0,2.0,3.0,11,1.0
11691,-,-,-,6,1.0
11692,-,-,3.0,70,-
11693,-,-,3.0,69,-
11694,1.0,1.0,1.0,50,-
11695,1.0,1.0,1.0,25,-
11696,1.0,1.0,1.0,30,-
11697,1.0,1.0,1.0,29,-
11698,-,-,-,9,1.0
11699,1.0,1.0,1.0,48,-
11700,1.0,1.0,1.0,43,-
11701,1.0,1.0,1.0,24,-
11702,1.0,1.0,1.0,15,2.0
11703,1.0,2.0,1.0,73,-
11704,-,-,3.0,78,-
11705,2.0,1.0,1.0,43,-
11706,-,-,-,2,7.0
11707,-,-,1.0,68,-
11708,1.0,1.0,1.0,37,-
11709,1.0,1.0,1.0,14,1.0
11710,1.0,1.0,1.0,34,-
11711,1.0,1.0,1.0,28,-
11712,-,-,-,6,1.0
11713,-,-,-,3,7.0
11714,1.0,2.0,1.0,48,-
11715,1.0,1.0,1.0,22,-
11716,1.0,1.0,1.0,19,5.0
11717,2.0,1.0,1.0,44,-
11718,1.0,1.0,1.0,54,-
11719,1.0,1.0,1.0,23,-
11720,1.0,1.0,1.0,22,5.0
11721,-,-,-,7,1.0
11722,2.0,1.0,1.0,29,-
11723,1.0,1.0,1.0,30,-
11724,-,-,-,3,7.0
11725,1.0,1.0,1.0,31,-
11726,1.0,1.0,1.0,32,-
11727,-,-,-,6,1.0
11728,-,-,1.0,58,-
11729,-,-,3.0,48,-
11730,1.0,1.0,1.0,28,-
11731,1.0,1.0,1.0,13,1.0
11732,-,-,3.0,76,-
11733,-,-,1.0,50,-
11734,1.0,1.0,1.0,31,-
11735,1.0,1.0,1.0,27,-
11736,-,-,-,2,7.0
11737,-,-,3.0,60,-
11738,2.0,1.0,1.0,28,-
11739,1.0,1.0,1.0,13,1.0
11740,-,-,-,8,1.0
11741,-,-,-,3,7.0
11742,-,-,1.0,55,-
11743,-,-,3.0,71,-
11744,-,-,1.0,19,-
11745,-,-,1.0,43,-
11746,-,-,1.0,50,3.0
11747,2.0,1.0,1.0,32,5.0
11748,2.0,1.0,1.0,28,-
11749,-,-,-,6,1.0
11750,-,-,1.0,78,-
11751,2.0,1.0,1.0,23,4.0
11752,-,-,1.0,20,-
11753,1.0,1.0,1.0,17,-
11754,-,-,1.0,43,-
11755,1.0,2.0,1.0,47,-
11756,1.0,1.0,1.0,27,-
11757,-,-,-,8,1.0
11758,1.0,2.0,1.0,45,-
11759,-,-,3.0,45,-
11760,1.0,1.0,1.0,18,-
11761,1.0,1.0,3.0,16,2.0
11762,-,-,1.0,45,-
11763,1.0,1.0,1.0,22,-
11764,1.0,1.0,1.0,16,-
11765,1.0,1.0,1.0,15,-
11766,1.0,1.0,3.0,14,1.0
11767,1.0,1.0,3.0,11,1.0
11768,1.0,1.0,3.0,16,-
11769,-,-,3.0,50,-
11770,-,-,3.0,55,-
11771,1.0,2.0,3.0,12,1.0
11772,-,-,3.0,77,-
11773,-,-,1.0,61,-
11774,-,-,3.0,82,-
11775,-,-,3.0,75,-
11776,1.0,1.0,1.0,42,-
11777,1.0,1.0,1.0,28,-
11778,1.0,1.0,1.0,30,-
11779,1.0,1.0,1.0,12,1.0
11780,-,-,-,9,1.0
11781,-,-,3.0,44,-
11782,-,-,1.0,30,-
11783,-,-,1.0,59,-
11784,1.0,1.0,1.0,19,-
11785,1.0,1.0,1.0,39,-
11786,-,-,3.0,50,-
11787,-,-,1.0,40,-
11788,2.0,1.0,1.0,15,2.0
11789,-,-,1.0,37,-
11790,1.0,1.0,1.0,37,-
11791,1.0,1.0,3.0,14,2.0
11792,1.0,1.0,3.0,13,1.0
11793,-,-,-,8,1.0
11794,1.0,1.0,1.0,30,-
11795,1.0,1.0,1.0,31,-
11796,2.0,1.0,3.0,12,1.0
11797,-,-,-,1,7.0
11798,-,-,1.0,36,-
11799,-,-,1.0,35,-
11800,1.0,1.0,1.0,17,-
11801,1.0,1.0,1.0,15,2.0
11802,1.0,1.0,3.0,13,1.0
11803,-,-,1.0,50,-
11804,-,-,1.0,45,-
11805,2.0,1.0,1.0,21,-
11806,1.0,1.0,1.0,16,-
11807,-,-,-,5,8.0
11808,-,-,-,0,-
11809,2.0,1.0,1.0,48,-
11810,2.0,1.0,1.0,45,-
11811,2.0,1.0,1.0,26,-
11812,-,-,-,4,9.0
11813,1.0,1.0,1.0,50,-
11814,1.0,1.0,1.0,51,-
11815,1.0,1.0,1.0,13,1.0
11816,1.0,1.0,1.0,25,-
11817,-,-,-,2,-
11818,-,-,3.0,58,-
11819,-,-,3.0,40,-
11820,2.0,1.0,1.0,40,-
11821,-,-,-,9,1.0
11822,-,-,-,3,-
11823,-,-,1.0,68,-
11824,-,-,3.0,75,-
11825,-,-,3.0,64,-
11826,-,-,1.0,50,-
11827,-,-,1.0,50,-
11828,1.0,1.0,1.0,24,-
11829,1.0,1.0,1.0,16,2.0
11830,-,-,1.0,49,-
11831,1.0,1.0,1.0,24,-
11832,1.0,1.0,1.0,21,-
11833,2.0,1.0,1.0,27,-
11834,2.0,1.0,1.0,26,-
11835,-,-,-,8,1.0
11836,-,-,-,5,9.0
11837,-,-,-,2,-
11838,-,-,-,0,-
11839,-,-,3.0,49,-
11840,-,-,3.0,12,1.0
11841,-,-,-,9,1.0
11842,-,-,1.0,62,-
11843,1.0,2.0,1.0,39,-
11844,1.0,2.0,1.0,36,5.0
11845,-,-,3.0,53,-
11846,-,-,3.0,64,-
11847,2.0,1.0,1.0,31,-
11848,-,-,-,4,7.0
11849,-,-,3.0,72,-
11850,-,-,1.0,65,-
11851,1.0,2.0,1.0,40,-
11852,1.0,2.0,1.0,15,1.0
11853,-,-,3.0,85,-
11854,-,-,3.0,91,-
11855,-,-,1.0,65,-
11856,-,-,3.0,25,-
11857,2.0,1.0,1.0,24,-
11858,-,-,-,1,-
11859,-,-,3.0,39,-
11860,2.0,1.0,1.0,29,-
11861,2.0,1.0,3.0,13,1.0
11862,-,-,-,7,1.0
11863,-,-,-,4,7.0
11864,-,-,-,0,-
11865,-,-,1.0,56,-
11866,-,-,1.0,56,-
11867,-,-,1.0,43,-
11868,2.0,1.0,1.0,41,-
11869,1.0,2.0,1.0,44,-
11870,-,-,1.0,52,-
11871,2.0,1.0,1.0,21,-
11872,1.0,1.0,1.0,18,-
11873,1.0,2.0,1.0,74,-
11874,1.0,2.0,1.0,72,-
11875,-,-,1.0,71,-
11876,1.0,1.0,1.0,40,-
11877,-,-,1.0,53,-
11878,-,-,1.0,52,-
11879,1.0,1.0,1.0,30,-
11880,1.0,1.0,1.0,10,1.0
11881,-,-,-,0,-
11882,2.0,1.0,1.0,33,-
11883,-,-,1.0,38,-
11884,2.0,1.0,1.0,20,-
11885,2.0,1.0,1.0,18,-
11886,-,-,3.0,12,1.0
11887,-,-,-,8,1.0
11888,-,-,3.0,49,-
11889,1.0,2.0,3.0,44,-
11890,1.0,1.0,1.0,23,-
11891,1.0,1.0,1.0,18,2.0
11892,1.0,1.0,1.0,45,-
11893,1.0,1.0,1.0,23,-
11894,1.0,1.0,1.0,12,1.0
11895,1.0,1.0,1.0,51,-
11896,1.0,2.0,3.0,48,-
11897,1.0,1.0,1.0,17,2.0
11898,1.0,1.0,1.0,15,2.0
11899,2.0,1.0,1.0,40,-
11900,2.0,1.0,1.0,35,-
11901,2.0,1.0,1.0,15,2.0
11902,2.0,1.0,1.0,11,1.0
11903,-,-,-,6,9.0
11904,1.0,1.0,1.0,30,-
11905,-,-,1.0,44,-
11906,2.0,1.0,1.0,33,-
11907,2.0,1.0,3.0,34,-
11908,2.0,1.0,3.0,11,1.0
11909,-,-,-,8,1.0
11910,-,-,3.0,63,-
11911,2.0,1.0,1.0,33,-
11912,1.0,1.0,1.0,25,-
11913,1.0,1.0,1.0,24,-
11914,1.0,1.0,1.0,41,-
11915,1.0,1.0,1.0,41,-
11916,-,-,-,5,9.0
11917,1.0,1.0,1.0,34,-
11918,2.0,1.0,1.0,31,-
11919,-,-,1.0,59,-
11920,1.0,1.0,1.0,13,1.0
11921,-,-,1.0,53,-
11922,2.0,1.0,1.0,51,-
11923,1.0,2.0,1.0,58,-
11924,1.0,2.0,1.0,40,-
11925,1.0,1.0,1.0,16,2.0
11926,-,-,-,1,-
11927,1.0,1.0,3.0,41,-
11928,2.0,1.0,3.0,33,-
11929,-,-,-,9,1.0
11930,-,-,-,3,7.0
11931,-,-,1.0,39,-
11932,-,-,3.0,27,-
11933,1.0,1.0,1.0,45,-
11934,2.0,1.0,1.0,46,-
11935,1.0,1.0,1.0,31,-
11936,-,-,-,5,9.0
11937,1.0,1.0,1.0,38,-
11938,1.0,1.0,1.0,35,-
11939,1.0,1.0,1.0,48,-
11940,1.0,1.0,1.0,28,-
11941,2.0,1.0,1.0,29,-
11942,2.0,1.0,1.0,11,1.0
11943,-,-,1.0,57,-
11944,-,-,3.0,55,-
11945,-,-,1.0,63,-
11946,-,-,1.0,64,-
11947,-,-,1.0,50,-
11948,1.0,2.0,1.0,25,-
11949,1.0,2.0,1.0,14,1.0
11950,-,-,-,1,-
11951,1.0,2.0,1.0,26,-
11952,-,-,3.0,45,-
11953,-,-,1.0,66,-
11954,-,-,3.0,69,-
11955,2.0,1.0,1.0,46,-
11956,1.0,2.0,1.0,30,-
11957,-,-,1.0,10,-
11958,-,-,-,1,-
11959,-,-,-,0,-
11960,-,-,1.0,51,-
11961,1.0,2.0,1.0,45,-
11962,1.0,1.0,1.0,18,5.0
11963,1.0,1.0,1.0,16,2.0
11964,1.0,1.0,1.0,15,2.0
11965,1.0,1.0,1.0,10,1.0
11966,-,-,-,8,1.0
11967,-,-,3.0,71,-
11968,1.0,2.0,1.0,71,-
11969,1.0,2.0,1.0,65,-
11970,-,-,1.0,54,-
11971,-,-,3.0,71,-
11972,-,-,3.0,68,-
11973,-,-,1.0,56,-
11974,-,-,1.0,44,-
11975,2.0,1.0,3.0,32,-
11976,-,-,3.0,33,-
11977,1.0,1.0,1.0,12,1.0
11978,-,-,3.0,10,1.0
11979,-,-,-,2,-
11980,-,-,3.0,32,-
11981,-,-,1.0,53,-
11982,2.0,1.0,1.0,15,2.0
11983,2.0,1.0,1.0,13,1.0
11984,2.0,1.0,1.0,11,1.0
11985,-,-,-,8,1.0
11986,-,-,-,2,7.0
11987,-,-,1.0,37,-
11988,-,-,3.0,32,-
11989,1.0,2.0,1.0,15,2.0
11990,-,-,3.0,14,1.0
11991,-,-,3.0,12,1.0
11992,-,-,-,8,1.0
11993,-,-,-,3,-
11994,2.0,1.0,1.0,34,-
11995,-,-,1.0,62,-
11996,-,-,1.0,67,-
11997,1.0,1.0,1.0,34,-
11998,1.0,1.0,1.0,36,-
11999,1.0,1.0,1.0,12,1.0
12000,-,-,-,0,-
12001,-,-,1.0,33,-
12002,2.0,1.0,1.0,47,-
12003,2.0,1.0,1.0,24,-
12004,2.0,1.0,1.0,12,1.0
12005,-,-,-,9,1.0
12006,1.0,1.0,1.0,28,-
12007,1.0,1.0,1.0,32,5.0
12008,-,-,-,5,9.0
12009,-,-,-,0,-
12010,2.0,2.0,3.0,39,-
12011,2.0,1.0,1.0,19,-
12012,2.0,1.0,1.0,16,2.0
12013,-,-,3.0,10,1.0
12014,-,-,-,7,1.0
12015,-,-,3.0,71,-
12016,-,-,3.0,39,-
12017,2.0,1.0,1.0,30,-
12018,-,-,1.0,36,-
12019,2.0,1.0,1.0,11,1.0
12020,-,-,-,7,1.0
12021,-,-,-,4,9.0
12022,-,-,3.0,84,-
12023,-,-,3.0,72,-
12024,1.0,1.0,1.0,17,2.0
12025,2.0,1.0,1.0,29,-
12026,-,-,1.0,45,-
12027,2.0,1.0,1.0,42,-
12028,2.0,1.0,1.0,21,-
12029,2.0,1.0,1.0,12,1.0
12030,-,-,1.0,74,-
12031,-,-,1.0,53,-
12032,-,-,1.0,57,-
12033,-,-,1.0,44,-
12034,2.0,1.0,1.0,25,-
12035,-,-,-,9,1.0
12036,-,-,-,7,1.0
12037,1.0,1.0,1.0,34,-
12038,1.0,1.0,1.0,45,-
12039,1.0,1.0,3.0,11,1.0
12040,-,-,-,8,1.0
12041,-,-,-,7,1.0
12042,1.0,1.0,3.0,41,-
12043,1.0,1.0,1.0,41,-
12044,1.0,1.0,1.0,22,5.0
12045,1.0,1.0,1.0,15,2.0
12046,1.0,1.0,1.0,10,1.0
12047,-,-,3.0,66,-
12048,-,-,3.0,61,-
12049,-,-,-,5,9.0
12050,2.0,1.0,1.0,38,-
12051,2.0,1.0,1.0,37,-
12052,2.0,1.0,1.0,18,-
12053,2.0,1.0,3.0,11,1.0
12054,-,-,-,1,-
12055,-,-,1.0,48,-
12056,1.0,1.0,1.0,34,5.0
12057,1.0,1.0,1.0,35,-
12058,1.0,1.0,1.0,14,1.0
12059,-,-,-,9,1.0
12060,2.0,1.0,1.0,32,-
12061,-,-,3.0,27,-
12062,-,-,-,6,9.0
12063,-,-,-,3,-
12064,2.0,1.0,1.0,44,-
12065,1.0,1.0,1.0,51,-
12066,2.0,1.0,1.0,18,-
12067,2.0,1.0,1.0,45,-
12068,-,-,1.0,78,-
12069,2.0,1.0,1.0,47,-
12070,1.0,1.0,1.0,58,-
12071,-,-,1.0,49,-
12072,-,-,3.0,48,-
12073,-,-,-,7,1.0
12074,-,-,3.0,72,-
12075,-,-,3.0,65,-
12076,2.0,1.0,1.0,32,-
12077,2.0,1.0,1.0,25,-
12078,2.0,1.0,1.0,23,-
12079,-,-,-,1,-
12080,-,-,3.0,61,-
12081,-,-,1.0,41,-
12082,-,-,3.0,20,-
12083,2.0,1.0,3.0,19,-
12084,2.0,1.0,3.0,16,-
12085,2.0,1.0,3.0,22,-
12086,-,-,1.0,49,-
12087,-,-,-,5,9.0
12088,-,-,-,0,-
12089,2.0,1.0,1.0,42,-
12090,1.0,1.0,1.0,13,1.0
12091,-,-,-,8,1.0
12092,-,-,1.0,67,-
12093,-,-,3.0,75,-
12094,1.0,1.0,1.0,44,-
12095,-,-,-,6,9.0
12096,1.0,1.0,1.0,59,-
12097,1.0,1.0,1.0,58,-
12098,1.0,1.0,1.0,64,-
12099,-,-,1.0,86,-
12100,1.0,1.0,1.0,28,4.0
12101,1.0,2.0,1.0,37,-
12102,2.0,1.0,1.0,50,-
12103,2.0,1.0,1.0,43,-
12104,2.0,1.0,1.0,21,-
12105,2.0,1.0,1.0,18,2.0
12106,-,-,-,1,-
12107,2.0,1.0,1.0,59,-
12108,-,-,3.0,54,-
12109,1.0,1.0,1.0,24,-
